OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000020,
       ref        average:,0.000000029,
       cpu          kbest:,0.003007455,
       cpu        average:,0.003010678,
    getpid          kbest:,0.000000417,
    getpid        average:,0.000000427,
context siwtch          kbest:,0.000004244,
context siwtch        average:,0.000005358,
      send          kbest:,0.000002517,
      send        average:,0.000002725,
      recv          kbest:,0.000002645,
      recv        average:,0.000003013,
  big send          kbest:,0.000019132,
  big send        average:,0.000023819,
  big recv          kbest:,0.000021893,
  big recv        average:,0.000029996,
      fork          kbest:,0.000125128,
      fork       average:,0.000277225,
      fork    Child kbest:,0.000248960,
      fork Child average:,0.000421869,
thr create          kbest:,0.000017796,
thr create       average:,0.000035497,
thr create    Child kbest:,0.000029848,
thr create Child average:,0.000067291,
  big fork          kbest:,0.003606337,
  big fork       average:,0.004164527,
  big fork    Child kbest:,0.003785768,
  big fork Child average:,0.004350187,
 huge fork          kbest:,0.006830431,
 huge fork       average:,0.009236531,
 huge fork    Child kbest:,0.006980271,
 huge fork Child average:,0.009425330,
small write          kbest:,0.000001251,
small write        average:,0.000001288,
small read          kbest:,0.000000664,
small read        average:,0.000000702,
small mmap          kbest:,0.000000818,
small mmap        average:,0.000000855,
small munmap          kbest:,0.000001378,
small munmap        average:,0.000001437,
small page fault          kbest:,0.000000993,
small page fault        average:,0.000001024,
 mid write          kbest:,0.000006603,
 mid write        average:,0.000006819,
  mid read          kbest:,0.000002632,
  mid read        average:,0.000002864,
  mid mmap          kbest:,0.000000807,
  mid mmap        average:,0.000000856,
mid munmap          kbest:,0.000004591,
mid munmap        average:,0.000004664,
mid page fault          kbest:,0.000001486,
mid page fault        average:,0.000001519,
 big write          kbest:,0.000832345,
 big write        average:,0.000847255,
  big read          kbest:,0.000478726,
  big read        average:,0.000483017,
  big mmap          kbest:,0.000000816,
  big mmap        average:,0.000000845,
big munmap          kbest:,0.000113961,
big munmap        average:,0.000116411,
big page fault          kbest:,0.000002046,
big page fault        average:,0.000002683,
huge write          kbest:,0.013471150,
huge write        average:,0.016971460,
 huge read          kbest:,0.022181622,
 huge read        average:,0.023447245,
 huge mmap          kbest:,0.000000802,
 huge mmap        average:,0.000000849,
huge munmap          kbest:,0.001332377,
huge munmap        average:,0.001361433,
huge page fault          kbest:,0.000002068,
huge page fault        average:,0.000002749,
    select          kbest:,0.000001331,
    select        average:,0.000001440,
      poll          kbest:,0.000001284,
      poll        average:,0.000001449,
     epoll          kbest:,0.000001461,
     epoll        average:,0.000001643,
select big          kbest:,0.000128942,
select big        average:,0.000189906,
  poll big          kbest:,0.000139392,
  poll big        average:,0.000196026,
 epoll big          kbest:,0.000172697,
 epoll big        average:,0.000252585,
