OS Benchmark experiment
Test Name:,4.10.13-custom,
       ref          kbest:,0.000000025,
       ref        average:,0.000000034,
       cpu          kbest:,0.003133312,
       cpu        average:,0.003150387,
    getpid          kbest:,0.000000077,
    getpid        average:,0.000000079,
context siwtch          kbest:,0.000002769,
context siwtch        average:,0.000002840,
      send          kbest:,0.000000106,
      send        average:,0.000000244,
      recv          kbest:,0.000000122,
      recv        average:,0.000000188,
  big send          kbest:,0.000000284,
  big send        average:,0.000000549,
  big recv          kbest:,0.000000314,
  big recv        average:,0.000000474,
      fork          kbest:,0.000078093,
      fork       average:,0.000173844,
      fork    Child kbest:,0.000102977,
      fork Child average:,0.000233635,
thr create          kbest:,0.000005241,
thr create       average:,0.000012758,
thr create    Child kbest:,0.000007152,
thr create Child average:,0.000021842,
  big fork          kbest:,0.000873690,
  big fork       average:,0.002227834,
  big fork    Child kbest:,0.000898802,
  big fork Child average:,0.002328981,
 huge fork          kbest:,0.002345172,
 huge fork       average:,0.005652776,
 huge fork    Child kbest:,0.002399778,
 huge fork Child average:,0.005765041,
small write          kbest:,0.000000629,
small write        average:,0.000000764,
small read          kbest:,0.000000248,
small read        average:,0.000000424,
small mmap          kbest:,0.000000298,
small mmap        average:,0.000000317,
small munmap          kbest:,0.000000642,
small munmap        average:,0.000000670,
small page fault          kbest:,0.000000478,
small page fault        average:,0.000000490,
 mid write          kbest:,0.000005291,
 mid write        average:,0.000005471,
  mid read          kbest:,0.000002274,
  mid read        average:,0.000002890,
  mid mmap          kbest:,0.000000289,
  mid mmap        average:,0.000000309,
mid munmap          kbest:,0.000002627,
mid munmap        average:,0.000002728,
mid page fault          kbest:,0.000000934,
mid page fault        average:,0.000000961,
 big write          kbest:,0.000603241,
 big write        average:,0.000620200,
  big read          kbest:,0.000336074,
  big read        average:,0.000359017,
  big mmap          kbest:,0.000000301,
  big mmap        average:,0.000000316,
big munmap          kbest:,0.000108592,
big munmap        average:,0.000109733,
big page fault          kbest:,0.000001349,
big page fault        average:,0.000001388,
huge write          kbest:,0.014076538,
huge write        average:,0.014358998,
 huge read          kbest:,0.013937559,
 huge read        average:,0.014016163,
 huge mmap          kbest:,0.000000303,
 huge mmap        average:,0.000000310,
huge munmap          kbest:,0.001182347,
huge munmap        average:,0.001328857,
huge page fault          kbest:,0.000001340,
huge page fault        average:,0.000001402,
    select          kbest:,0.000000517,
    select        average:,0.000000565,
      poll          kbest:,0.000000379,
      poll        average:,0.000000445,
     epoll          kbest:,0.000000378,
     epoll        average:,0.000000469,
select big          kbest:,0.000063049,
select big        average:,0.000068155,
  poll big          kbest:,0.000063035,
  poll big        average:,0.000069154,
 epoll big          kbest:,0.000059195,
 epoll big        average:,0.000064451,
